"Wavelength (nm)","T"
1063,59.27552
1064,59.02108
1065,58.93331
1066,58.96978
1067,58.69415
1068,58.67635
1069,58.65118
1070,58.36441
1071,58.38496
1072,58.29854
1073,58.05727
1074,58.12752
1075,57.97726
1076,57.80225
1077,57.8846
1078,57.68175
1079,57.56316
1080,57.61717
1081,57.38462
1082,57.33823
1083,57.35899
1084,57.11879
1085,57.14743
1086,57.117
1087,56.8807
1088,56.95728
1089,56.86496
1090,56.66624
1091,56.76644
1092,56.6142
1093,56.46878
1094,56.57232
1095,56.37785
1096,56.30199
1097,56.38691
1098,56.16731
1099,56.15352
1100,56.18606
1101,55.95874
1102,55.99966
1103,55.97614
1104,55.77496
1105,55.8647
1106,55.78626
1107,55.6366
1108,55.72499
1109,55.60942
1110,55.5015
1111,55.59012
1112,55.42739
1113,55.38815
1114,55.43264
1115,55.27252
1116,55.28094
1117,55.30613
1118,55.15642
1119,55.20631
1120,55.19313
1121,55.04893
1122,55.12616
1123,55.05583
1124,54.95896
1125,55.02531
1126,54.93357
1127,54.87298
1128,54.95617
1129,54.84741
1130,54.83338
1131,54.9007
1132,54.77458
1133,54.79025
1134,54.82379
1135,54.70327
1136,54.7467
1137,54.75339
1138,54.65059
1139,54.7181
1140,54.69221
1141,54.61729
1142,54.69439
1143,54.64584
1144,54.59834
1145,54.67957
1146,54.60226
1147,54.58337
1148,54.64916
1149,54.56206
1150,54.5741
1151,54.61819
1152,54.54048
1153,54.57421
1154,54.60113
1155,54.52739
1156,54.59822
1157,54.59409
1158,54.5477
1159,54.61629
1160,54.59262
1161,54.56392
1162,54.64181
1163,54.5907
1164,54.60235
1165,54.67423
1166,54.60812
1167,54.64018
1168,54.70208
1169,54.62793
1170,54.69429
1171,54.72281
1172,54.65559
1173,54.73335
1174,54.7443
1175,54.69741
1176,54.80756
1177,54.78622
1178,54.76934
1179,54.87567
1180,54.81677
1181,54.83252
1182,54.93247
1183,54.86267
1184,54.91397
1185,54.99251
1186,54.91005
1187,55.00315
1188,55.05285
1189,54.97328
1190,55.10622
1191,55.10701
1192,55.0514
1193,55.19383
1194,55.16826
1195,55.14729
1196,55.30244
1197,55.23867
1198,55.28106
1199,55.40227
1200,55.30779
1201,55.40687
1202,55.48462
1203,55.39497
1204,55.53979
1205,55.58938
1206,55.51106
1207,55.68272
1208,55.65964
